hive,hour_bucket_utc,tvd,tvd_zscore,queenless_candidate
hive_01,2026-03-14 01:00:00+00:00,0.0,-0.7582875444051553,False
hive_01,2026-03-14 02:00:00+00:00,0.5,0.6965495754202506,False
hive_01,2026-03-14 03:00:00+00:00,0.5,0.6372389240525752,False
hive_01,2026-03-14 04:00:00+00:00,0.5,0.5796886759623316,False
hive_01,2026-03-14 05:00:00+00:00,0.5,0.5796886759623316,False
hive_01,2026-03-14 06:00:00+00:00,1.0,1.8994323197352685,False
hive_01,2026-03-14 07:00:00+00:00,0.0,-0.9497161598676341,False
hive_01,2026-03-14 08:00:00+00:00,0.0,-0.8921344936736054,False
hive_01,2026-03-14 09:00:00+00:00,0.5,0.5796886759623316,False
hive_01,2026-03-14 10:00:00+00:00,0.5,0.5232681184722837,False
hive_01,2026-03-14 11:00:00+00:00,0.5,0.5232681184722837,False
hive_01,2026-03-14 12:00:00+00:00,0.5,0.46734446900886534,False
hive_01,2026-03-14 13:00:00+00:00,0.5,0.46734446900886534,False
hive_01,2026-03-14 14:00:00+00:00,1.0,2.0696683627535464,True
hive_01,2026-03-14 15:00:00+00:00,0.5,0.41123916041498726,False
hive_01,2026-03-14 16:00:00+00:00,0.5,0.41123916041498726,False
hive_01,2026-03-14 17:00:00+00:00,0.0,-1.2337174812449618,False
hive_01,2026-03-14 18:00:00+00:00,0.5,0.41123916041498726,False
hive_01,2026-03-14 19:00:00+00:00,0.5,0.3541698747416558,False
hive_01,2026-03-14 20:00:00+00:00,0.0,-1.3458455240182916,False
hive_01,2026-03-14 21:00:00+00:00,0.0,-1.3458455240182916,False
hive_01,2026-03-14 22:00:00+00:00,0.5,0.3541698747416558,False
hive_01,2026-03-14 23:00:00+00:00,0.5,0.3541698747416558,False
hive_01,2026-03-15 00:00:00+00:00,0.0,-1.3458455240182916,False
hive_01,2026-03-15 01:00:00+00:00,0.0,-1.3458455240182916,False
hive_01,2026-03-15 02:00:00+00:00,0.0,-1.2337174812449618,False
hive_01,2026-03-15 03:00:00+00:00,0.0,-1.1349794247358163,False
hive_01,2026-03-15 04:00:00+00:00,0.0,-1.0465362369445674,False
hive_01,2026-03-15 05:00:00+00:00,0.5,0.5232681184722838,False
hive_01,2026-03-15 06:00:00+00:00,0.0,-0.9995566393042996,False
hive_01,2026-03-15 07:00:00+00:00,0.5,0.651291277286018,False
hive_01,2026-03-15 08:00:00+00:00,0.0,-1.0854854621433634,False
hive_01,2026-03-15 09:00:00+00:00,0.5,0.651291277286018,False
hive_01,2026-03-15 10:00:00+00:00,0.0,-0.9995566393042996,False
hive_01,2026-03-15 11:00:00+00:00,0.5,0.7139690280744996,False
hive_01,2026-03-15 12:00:00+00:00,0.5,0.7139690280744996,False
hive_01,2026-03-15 13:00:00+00:00,0.5,0.7139690280744996,False
hive_01,2026-03-15 14:00:00+00:00,0.5,0.9004984374763997,False
hive_01,2026-03-15 15:00:00+00:00,0.5,0.9004984374763997,False
hive_01,2026-03-15 16:00:00+00:00,0.0,-0.9789450103725617,False
hive_01,2026-03-15 17:00:00+00:00,0.0,-0.9789450103725617,False
hive_01,2026-03-15 18:00:00+00:00,0.0,-0.9004984374763998,False
hive_01,2026-03-15 19:00:00+00:00,1.0,2.5433737436719768,True
hive_01,2026-03-15 20:00:00+00:00,1.0,2.166612341778756,True
hive_01,2026-03-15 21:00:00+00:00,1.0,1.8994323197352687,False
hive_01,2026-03-15 22:00:00+00:00,1.0,1.7208372423261402,False
hive_01,2026-03-15 23:00:00+00:00,1.0,1.5743088248060066,False
hive_01,2026-03-16 00:00:00+00:00,0.5,0.2674273975031792,False
hive_01,2026-03-16 01:00:00+00:00,0.5,0.21889875894272823,False
hive_01,2026-03-16 02:00:00+00:00,0.0,-1.0944937947136413,False
hive_01,2026-03-16 03:00:00+00:00,0.5,0.1687167642371482,False
hive_01,2026-03-16 04:00:00+00:00,0.0,-1.1810173496600374,False
hive_01,2026-03-16 05:00:00+00:00,0.5,0.1687167642371482,False
hive_01,2026-03-16 06:00:00+00:00,0.0,-1.1810173496600374,False
hive_01,2026-03-16 07:00:00+00:00,0.0,-1.0944937947136413,False
hive_01,2026-03-16 08:00:00+00:00,0.0,-1.0944937947136413,False
hive_01,2026-03-16 09:00:00+00:00,0.0,-1.0162241105120806,False
hive_01,2026-03-16 10:00:00+00:00,0.0,-1.0162241105120806,False
hive_01,2026-03-16 11:00:00+00:00,0.5,0.2674273975031792,False
hive_01,2026-03-16 12:00:00+00:00,0.5,0.2674273975031792,False
